O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
10,139,80,51,5,1,725.4,0.01,96,0,3.91,7.2,344,1
7,42,29,20,5,2,725,0.02,96,0,3.81,6.3,341,0
7,23,9,5,5,3,724.4,0,96,0,3.85,5.2,346,0
7,23,14,6,5,5,724,0.01,96,0,3.79,5.6,336,0
5,15,8,2,5,8,724.3,0,96,0.023,3.93,4.8,354,0
7,16,6,11,5,9,724.3,0,96,0.052,4.13,4.2,15,0
10,22,17,1,5,12,722.6,0,96,0.127,6.6,3.2,29,0
12,32,16,3,5,13,721.7,0,95,0.15,6.89,4.8,2,0
14,31,19,16,5,14,721,0,94,0.175,7.43,4.6,47,0
11,50,35,20,5,15,720.8,0,93,0.091,7.15,4,42,0
11,45,15,21,5,16,720.8,0,93,0.091,7.04,2.9,54,0
10,62,36,1,5,17,720.6,0,93,0.014,6.82,4.4,81,0
8,67,37,4,5,18,721,0,93,0.008,6.7,3.7,58,0
6,59,33,23,5,19,721.3,0,94,0.016,6.5,5.6,101,0
5,61,10,4,5,20,721.5,0,94,0.004,5.79,8.2,118,0
5,28,14,8,5,22,721.6,0,95,0,5.09,7.5,103,0
6,23,6,6,5,23,721.5,0,95,0,4.98,7.9,106,0
6,15,12,1,6,0,721.7,0,96,0,4.86,4.1,83,0
5,15,11,1,6,1,721.6,0.01,96,0,4.88,3.7,29,0
6,15,12,7,6,2,721.3,0,96,0,4.76,5,20,0
4,8,5,7,6,6,721.3,0,96,0.011,4.41,3.3,1,0
4,12,12,1,6,8,721.9,0,95,0.043,4.69,3.1,5,0
5,17,13,3,6,9,722.1,0,95,0.073,5.13,2,31,0
10,42,10,4,6,12,720.1,0,91,0.13,7.31,1.8,70,0
10,49,14,38,6,13,718.9,0,88,0.117,7.53,2.6,76,0
8,73,52,26,6,14,718.4,0,87,0.07,7.25,4.4,66,1
7,66,26,4,6,15,718.3,0,89,0.04,6.96,4,58,0
6,72,30,1,6,16,718.1,0,91,0.02,6.61,3.7,55,0
5,62,29,0,6,17,717.9,0,92,0.005,6.52,4.6,103,0
4,62,29,9,6,18,718.1,0,93,0,6.35,5.5,112,0
4,40,20,8,6,19,718.4,0,94,0,6.31,4.6,93,0
4,50,28,12,6,20,719.1,0,94,0,6.27,3.4,68,0
4,47,40,17,6,21,719.2,0.01,95,0,6.23,2,78,0
4,43,23,8,6,22,719.4,0,95,0,6.36,2.8,33,0
4,35,15,3,6,23,719.3,0,95,0,6.43,2.9,29,0
5,16,12,1,7,2,718.6,0,95,0,5.84,3.1,31,0
4,34,13,3,7,4,718.1,0,96,0,6.35,1.5,60,0
4,36,10,4,7,5,718.1,0,96,0,6.64,1.3,114,0
4,31,6,6,7,6,718.4,0,95,0,7.01,2.5,30,0
4,35,12,1,7,7,718.8,0,95,0.001,7.18,1.5,22,0
4,37,11,16,7,8,719.5,0,95,0.022,7.36,1.3,43,0
5,48,27,8,7,9,720.3,0,94,0.059,7.56,3,21,0
5,50,35,29,7,10,721,0,94,0.076,7.67,3.6,6,0
6,54,6,33,7,11,720.8,0,93,0.082,7.95,4.2,349,0
8,52,39,9,7,12,720.2,0,91,0.13,8.32,5.7,349,0
8,44,30,16,7,13,719.6,0,90,0.133,8.62,5.9,356,0
10,39,14,4,7,14,719.5,0,87,0.176,9.9,3.8,340,0
13,65,10,61,7,16,719.4,0,73,0.136,14.63,1.6,197,0
9,96,71,18,7,17,719.7,0,74,0.019,12.97,1.1,189,1
11,128,89,5,7,18,720.3,0,81,0.001,10.14,2.1,126,1
12,185,94,25,7,19,721,0,86,0,9.49,3.7,129,1
12,208,119,51,7,20,721.8,0,90,0,8.82,4.2,129,1
10,196,68,63,7,21,722.5,0,91,0,8.35,1.8,136,1
30,40,5,26,1,13,728.7,0,50,0.435,16.67,10.8,18,0
31,35,31,14,1,16,729.2,0,46,0.165,17.26,8.1,15,0
26,54,45,14,1,17,729.9,0,53,0.041,15.14,8.7,16,1
25,63,31,8,1,18,730.8,0,57,0.001,13.74,5.7,41,0
17,63,23,6,1,19,731.4,0,61,0,12.83,3.4,14,0
10,68,17,12,1,20,732,0,65,0,12.14,4.9,340,0
6,86,29,4,1,21,732.3,0,71,0,10.88,5.9,313,0
8,71,25,20,1,22,732.4,0,73,0,10.39,5.4,266,0
31,68,5,2,1,23,732.6,0,70,0,10.85,12.7,126,0
32,52,7,1,2,0,732.6,0,72,0,10.23,13.3,119,0
27,24,8,7,2,4,733.2,0,75,0,8.37,5.4,95,0
23,30,15,2,2,5,733.2,0,76,0,8.04,5.6,88,0
16,38,17,0,2,6,733.3,0,78,0.001,7.23,3.3,51,0
7,48,17,2,2,7,733.5,0,80,0.003,6.87,3.4,85,0
9,89,19,6,2,8,733.9,0,79,0.035,7.21,5.4,101,0
11,100,13,2,2,9,734.2,0,78,0.088,7.63,4.5,84,0
13,85,11,6,2,10,734,0,77,0.189,8.85,3.7,71,0
19,92,17,6,2,11,733.5,0,74,0.339,10.42,4.2,66,0
30,82,23,1,2,12,732.5,0,69,0.463,11.45,6.9,109,0
35,73,22,8,2,13,731.5,0,64,0.451,12.89,6.3,97,0
36,68,14,2,2,14,730.9,0,63,0.278,12.6,8.1,100,0
35,66,16,1,2,15,730.6,0,62,0.213,12.31,9.7,106,0
31,74,17,7,2,16,730.5,0,65,0.092,11.97,10.7,105,0
23,62,24,31,2,17,730.5,0,67,0.022,11.5,8.6,103,0
11,93,55,22,2,19,730.5,0,71,0,10.32,8.2,107,1
10,113,33,10,2,20,730.4,0,73,0,9.87,7.1,112,0
10,99,23,3,2,21,730.4,0,76,0,9.29,8.7,111,0
14,88,20,2,2,22,730.2,0,76,0,8.91,6.5,115,0
18,56,22,11,2,23,729.8,0,75,0,8.63,6.1,111,0
16,40,11,22,3,0,729.5,0,76,0,8.56,4.5,101,0
9,55,33,12,3,2,729.1,0,77,0,8.34,3.1,28,0
8,56,21,10,3,3,729.1,0,78,0,8.11,2.8,38,0
5,65,31,13,3,4,729,0,84,0,7.56,2.9,35,0
6,51,18,11,3,5,729,0,85,0,7.61,2.8,18,0
5,49,29,5,3,6,729.3,0,85,0,7.5,3.2,75,0
6,44,24,7,3,7,729.7,0,85,0.003,7.58,2.8,149,0
7,65,17,16,3,8,730,0,84,0.052,8.47,2.8,251,0
11,96,33,11,3,9,730.2,0,81,0.131,10.41,2.8,327,0
12,142,44,20,3,10,730.2,0,76,0.214,11.7,3.6,22,1
20,139,24,9,3,11,729.4,0,69,0.401,13.55,3.1,91,0
31,128,15,7,3,12,728.1,0,60,0.475,16.32,3.3,41,0
41,116,22,83,3,13,727.1,0,58,0.53,17.27,4.4,75,0
44,174,105,6,3,14,726.7,0,60,0.386,17.09,7.1,117,1
43,244,99,50,3,15,726.7,0,61,0.191,16.73,8.2,113,1
49,189,49,28,3,16,726.7,0,63,0.126,16.55,7.3,107,1
36,105,21,12,3,17,726.8,0,66,0.036,15.98,6.7,105,0
27,121,9,24,3,18,727,0,66,0,15.22,5.5,101,0
10,153,33,33,3,19,727.3,0,69,0,14.46,2.4,92,0
7,184,66,30,3,20,727.3,0,70,0,14.55,6,107,1
6,188,36,15,3,21,727.3,0,76,0,14.03,7.9,108,0
6,110,21,14,3,22,727.3,0,80,0,13.34,5.8,107,0
5,85,7,36,3,23,727.2,0,83,0,12.63,2.8,37,0
4,101,43,21,4,0,727,0,85,0,12.29,2.2,6,1
4,101,22,14,4,1,727.1,0,86,0,11.99,3.4,355,0
4,101,36,22,4,2,727.1,0,87,0,11.39,1.7,355,0
20,98,14,1,4,16,730.7,0.01,93,0.017,11.98,10.9,351,0
20,27,15,1,4,18,732.2,0.02,94,0,10.49,11.5,360,0
20,26,16,8,4,19,733.1,0,94,0.014,10.33,8.5,345,0
31,22,8,10,5,2,734.3,0,77,0.04,6.29,10.7,8,0
28,31,18,4,5,3,734.1,0,74,0.034,6.08,10.5,6,0
26,44,22,8,5,4,733.7,0,76,0.011,5.44,11,358,0
17,43,14,6,5,7,733.3,0,73,0.007,3.78,8,352,0
17,48,8,8,5,8,733.1,0,72,0.038,3.75,7,1,0
18,40,16,11,5,9,733,0,71,0.059,3.79,5.7,22,0
20,43,5,2,5,10,732.7,0,69,0.103,3.98,6.2,0,0
20,46,7,9,5,11,731.6,0,71,0.13,4.32,4.8,335,0
21,50,16,8,5,12,730.3,0,73,0.164,5.18,2.8,305,0
17,57,8,4,5,13,729.2,0,73,0.145,5.46,5.4,121,0
16,99,12,40,5,14,728.4,0,83,0.068,3.95,8.6,123,0
16,71,52,29,5,15,727.9,0,87,0.037,3.66,6,128,1
14,52,23,10,5,16,727.6,0,88,0.028,3.68,7.4,116,0
11,59,13,10,5,17,727.4,0,88,0.01,3.93,5.1,122,0
10,64,23,2,5,18,727,0,87,0,4.43,5.3,130,0
15,69,21,1,5,19,727,0,84,0,4.63,6.7,124,0
17,77,20,6,5,20,726.8,0,83,0,4.47,7.2,115,0
16,61,14,5,5,21,726.6,0,85,0,4.25,6.2,107,0
15,68,19,10,5,22,726,0,86,0,4.16,4.7,114,0
13,53,29,4,5,23,725.6,0,87,0,4.18,1.5,120,0
5,77,25,0,6,2,724,0,87,0,4.47,2.8,303,0
5,80,25,1,6,3,723.9,0,87,0,4.47,3.5,308,0
5,85,26,13,6,4,723.8,0,87,0,4.7,3.9,296,0
6,73,39,7,6,5,723.6,0,87,0,4.61,2.1,312,0
5,99,32,8,6,6,723.9,0,88,0,5.17,2.1,310,0
5,94,40,16,6,7,724.8,0,88,0.002,5.86,3,294,0
6,73,24,14,6,8,725.8,0,88,0.013,6.39,2.1,294,0
6,66,38,22,6,9,727,0,88,0.034,6.81,4.3,323,0
8,81,16,6,6,10,727.8,0,90,0.051,6.33,5.5,348,0
10,45,22,11,6,11,727.9,0,92,0.06,6.25,6.8,333,0
11,33,11,4,6,12,727.4,0,93,0.076,6.27,7,344,0
13,44,7,6,6,13,727.1,0,91,0.073,7.08,7.7,347,0
10,49,13,1,6,15,727,0.07,85,0.054,7.13,6.6,359,0
11,39,12,0,6,16,727.3,0.01,87,0.052,6.75,7.7,350,0
10,31,12,3,6,17,727.8,0,86,0.015,6.53,7.4,353,0
9,34,15,8,6,18,728.6,0,87,0,6.04,7.9,358,0
11,26,7,12,6,19,729.3,0,87,0,5.59,9,353,0
12,26,19,14,6,20,729.8,0,88,0,5.23,9.1,355,0
12,24,5,4,6,21,729.9,0,88,0,4.96,9.5,351,0
13,20,9,4,6,22,730,0,89,0,4.64,7.5,325,0
14,18,5,1,7,1,729.3,0,91,0,4.11,6.7,344,0
14,14,6,9,7,3,728.6,0,91,0,3.78,6.4,356,0
9,17,15,2,7,10,728.9,0.01,94,0.059,3.28,5.9,340,0
10,14,13,1,7,11,728.4,0,94,0.106,3.7,5.3,348,0
9,25,14,4,7,15,725.4,0,94,0.062,4.91,5,15,0
8,30,18,5,7,17,725.5,0,94,0.009,4.27,5.1,12,0
6,37,13,3,7,18,725.5,0.05,94,0,4.11,5.4,35,0
5,28,16,5,7,19,725.8,0.04,94,0,3.86,4.2,355,0
5,29,11,3,7,20,726.1,0,94,0,3.82,3.9,27,0
5,32,14,1,7,21,725.8,0,94,0,3.75,4.7,337,0
6,26,15,7,7,22,725.7,0,94,0,3.66,4.5,15,0
5,22,8,7,7,23,725.6,0,94,0,3.5,1.8,350,0
5,19,15,4,1,2,724.3,0,94,0,3.16,3.9,335,0
4,16,11,68,1,3,723.9,0,94,0,3.39,2,313,0
16,267,79,5,2,10,724.7,0,73,0.374,16.89,4.6,52,1
40,197,84,12,2,12,724,0,61,0.538,19.16,6.5,104,1
49,171,72,21,2,13,722.9,0,59,0.506,19.24,8.8,104,1
53,119,51,8,2,14,722.2,0,58,0.483,19.53,10.9,102,1
46,101,43,8,2,15,722.2,0,56,0.367,19.69,10.6,102,1
45,82,35,3,2,16,722.3,0,56,0.161,19.16,10.3,100,0
33,82,32,8,2,17,722.8,0,60,0.038,17.98,10,103,0
17,112,40,34,2,18,723.4,0,68,0.007,16.36,11.1,106,0
6,19,6,2,3,18,726.4,0,94,0,5.84,6.7,111,0
6,21,8,0,3,20,726.9,0,94,0,5.82,8.5,108,0
8,12,8,8,3,21,727.1,0.01,94,0.001,5.6,8.2,103,0
8,20,16,9,3,22,727.1,0,94,0,5.51,7.9,101,0
9,9,7,1,3,23,726.9,0,94,0.002,5.44,8,102,0
12,15,8,2,4,1,726,0,94,0.009,5.32,8,106,0
9,9,6,2,4,4,725.7,0,94,0.013,5.03,3.3,99,0
4,13,8,0,4,6,725.6,0,94,0.014,5.09,4.1,102,0
4,14,8,11,4,9,726.5,0,95,0.044,5.1,5,359,0
6,22,19,0,4,10,726.8,0,95,0.086,5.45,5,2,0
5,27,19,4,4,11,726.2,0,95,0.069,5.73,4,353,0
6,20,15,8,4,12,725.4,0.01,95,0.071,5.87,4.7,10,0
6,23,7,8,4,13,724.4,0.01,95,0.089,6.06,4.3,7,0
7,21,15,4,4,14,723.8,0.02,95,0.069,6.25,4.8,358,0
4,23,19,13,4,18,724.6,0,95,0,5.89,6.1,11,0
4,32,6,14,4,19,724.9,0.01,95,0,5.81,5.5,2,0
4,26,20,1,4,20,725.2,0,94,0,5.77,5.1,358,0
4,27,21,9,4,21,725.4,0,94,0,5.67,5.5,356,0
5,26,12,7,4,22,725.4,0,93,0,5.42,5.8,353,0
9,22,5,0,5,0,725.4,0,93,0,4.73,6.6,356,0
10,21,5,0,5,1,725.2,0.01,94,0,4.74,6.2,344,0
11,14,5,2,5,3,725.3,0.01,94,0,4.56,8.1,352,0
10,14,7,1,5,4,725.4,0,94,0,4.76,8,344,0
11,35,8,4,5,10,729.1,0,79,0.242,7.73,10,358,0
14,39,12,4,5,11,729.1,0,74,0.401,9.3,9.1,357,0
16,39,8,11,5,12,728.3,0,69,0.452,10.27,9.1,359,0
18,45,19,8,5,14,726.8,0,63,0.221,12.05,7.7,6,0
15,53,27,2,5,16,726.9,0,63,0.09,12.17,5.2,32,0
13,46,29,4,5,17,727.2,0,68,0.039,11.32,3.6,74,0
7,66,25,3,5,18,727.7,0,70,0,10.67,1.6,91,0
5,117,28,11,5,19,728.1,0,72,0,10.21,3.5,35,0
6,101,17,14,5,20,728.5,0,72,0,9.93,3.6,8,0
5,104,31,11,5,21,728.6,0,71,0,9.81,3,321,0
5,91,20,5,5,22,728.6,0,73,0,9.56,3.5,322,0
4,95,15,20,5,23,728.7,0,75,0,9.09,3.5,325,0
6,260,35,25,6,8,728.4,0,88,0.1,7.46,1.7,307,0
7,211,10,23,6,9,728.7,0,84,0.176,9.51,0.9,342,0
11,240,33,8,6,10,728.9,0,71,0.346,14.74,1,125,0
18,219,41,9,6,11,728.7,0,59,0.475,14.68,3.5,6,1
26,111,32,9,6,12,727.6,0,55,0.539,15.71,4,32,0
37,72,23,20,6,14,725.3,0,49,0.485,17.72,4,50,0
43,98,43,8,6,15,724.7,0,47,0.366,18.48,4.3,27,1
43,117,35,8,6,16,724.6,0,48,0.173,17.71,5.2,113,0
35,116,27,9,6,17,724.6,0,53,0.034,16.54,7.1,123,0
25,160,36,2,6,18,724.8,0,59,0.002,15.11,8.7,117,0
23,171,38,12,6,19,725,0,65,0,14,8.1,123,0
16,161,26,15,6,20,725,0,65,0,13.54,6.5,125,0
10,159,41,8,6,21,725,0,66,0,12.98,5.1,118,1
9,174,33,13,6,22,724.9,0,69,0,12.4,4,109,0
11,165,20,28,6,23,724.7,0,69,0,12.14,4.2,120,0
9,202,48,18,7,8,723.2,0,84,0.078,10.63,2.4,260,1
12,261,66,5,7,9,723.4,0,75,0.228,14.84,1.8,57,1
19,277,71,13,7,10,723.4,0,61,0.404,19.21,2.3,10,1
36,284,58,15,7,11,722.8,0,49,0.489,21.74,2.7,157,1
49,167,43,20,7,12,722,0,43,0.555,23.72,3,304,1
57,132,23,8,7,13,721.1,0,41,0.543,24.93,3.5,34,0
50,137,15,26,7,14,720.6,0,41,0.424,24.83,4.6,19,0
63,91,41,15,7,15,720.7,0,42,0.304,24.46,6,98,1
67,202,56,9,7,16,720.9,0,45,0.111,23.29,6,125,1
51,255,65,15,7,17,721.2,0,50,0.041,22.28,5.2,114,1
29,284,80,2,7,18,722.1,0,60,0.001,20.08,4.3,101,1
18,379,78,17,7,19,722.9,0,64,0,18.72,2.7,129,1
17,298,95,5,7,20,724.1,0,68,0,18.1,4,51,1
19,353,90,31,7,21,724.9,0,72,0,17.21,2.7,16,1
14,367,121,28,7,22,725.7,0,73,0,17.07,3.8,13,1
14,324,93,5,7,23,726.3,0,73,0,16.84,2.9,284,1
13,261,98,6,1,0,726.6,0,72,0,17.07,3.6,270,1
12,237,92,61,1,1,726.7,0,69,0,17.18,3.3,291,1
13,232,31,6,1,2,726.6,0,58,0,17.38,4.3,0,0
17,62,25,12,1,3,727.1,0,62,0,16.47,8.1,341,0
23,41,13,14,1,9,729.5,0,40,0.099,15.38,4.7,315,0
28,58,27,22,1,10,729.4,0,38,0.147,15.95,5.7,320,0
32,42,5,8,1,11,729,0,35,0.229,16.89,4.6,321,0
41,39,13,10,1,13,726.7,0,31,0.371,19.18,3.3,3,0
45,49,23,4,1,16,725.3,0,36,0.11,18.88,4.2,67,0
39,75,27,33,1,17,725.2,0,41,0.045,17.46,7.7,129,0
29,127,60,8,1,18,725.3,0,44,0.002,16.44,7.3,130,1
23,121,52,22,1,19,725.6,0,47,0,15.85,7.1,130,1
21,112,30,11,1,20,725.6,0,48,0,15.56,7.4,131,0
17,93,19,11,1,21,725.7,0,47,0,15.24,4.6,137,0
10,82,30,8,1,22,725.5,0,49,0,15.01,4.4,134,0
11,98,22,3,1,23,725.1,0,49,0,14.58,3.4,147,0
5,65,25,5,2,0,724.7,0,54,0,13.76,2.3,186,0
9,125,20,5,2,1,724.3,0,58,0,13.26,1.4,223,0
5,56,15,10,2,3,723.8,0,63,0.002,12.59,1,358,0
6,109,25,3,2,4,723.4,0,66,0.001,12.59,1.8,170,0
7,120,22,45,2,5,722.9,0,67,0,12.96,2.3,139,0
7,166,67,7,2,6,723,0,68,0,12.86,3.1,345,1
8,237,60,14,2,7,723.1,0,68,0.004,12.66,2.7,281,1
8,370,46,11,2,8,723.3,0,65,0.037,13.5,3.4,266,1
10,291,57,18,2,9,723.2,0,61,0.117,15.65,2.6,234,1
12,349,39,21,2,10,723,0,51,0.193,18.48,3.1,158,0
15,219,18,41,2,11,722.3,0,47,0.315,21.09,3.2,105,0
28,295,59,41,2,12,721.3,0,44,0.408,22.04,4.6,97,1
48,289,18,49,2,13,720.3,0,37,0.604,25.75,3.9,123,0
51,194,67,56,2,14,719.3,0,38,0.319,25.16,4.3,126,1
51,203,11,19,2,15,718.6,0,35,0.41,27.66,4.4,124,0
56,139,30,4,2,16,718.5,0,37,0.17,26.26,8.1,121,0
46,193,26,8,2,17,718.7,0,44,0.023,24.08,9.1,120,0
33,184,18,10,2,18,719,0,49,0.002,21.82,9.3,132,0
18,146,28,4,2,19,719.4,0,55,0,20.56,6.9,126,0
9,159,32,22,2,20,719.7,0,60,0,18.72,3.2,35,0
7,200,54,8,2,21,720,0,64,0,17.54,3.3,39,1
6,249,46,18,2,22,720,0,66,0,16.57,2.4,297,1
6,252,64,11,2,23,720.1,0,69,0,15.93,2.6,334,1
6,250,53,7,3,0,719.9,0,72,0,15,1.7,285,1
6,210,46,8,3,1,719.6,0,74,0,14.81,2,217,1
9,208,54,36,3,2,719.4,0,74,0,14.87,2.6,193,1
9,273,90,31,3,3,719.2,0,78,0,13.91,2,344,1
7,306,59,4,3,4,719.1,0,81,0,13.56,3.7,261,1
8,183,55,5,3,5,718.9,0,79,0,14.34,3.8,204,1
8,211,50,13,3,6,719.1,0,76,0,14.32,3.2,235,1
8,257,37,17,3,7,719.3,0,76,0.007,14.5,3.1,198,0
9,388,20,0,3,8,719.5,0,69,0.126,17.95,2.9,227,0
9,370,20,14,3,9,719.9,0,54,0.287,23.86,2.2,144,0
23,220,6,17,3,11,719.7,0,45,0.539,26.69,2.7,355,0
36,150,23,14,3,12,718.8,0,37,0.596,28.85,2.8,345,0
54,113,37,5,3,13,717.8,0,34,0.577,28.38,5.2,118,0
70,124,32,1,3,14,717.1,0,34,0.518,29.12,5.7,131,0
55,115,31,4,3,15,716.6,0,32,0.407,29.05,8.3,119,0
46,84,27,1,3,16,716.6,0,35,0.208,28.43,10.6,110,0
43,92,26,6,3,17,716.7,0,38,0.024,27.47,10.4,111,0
19,106,20,6,3,18,717,0,44,0.002,25.73,7.9,113,0
5,191,26,9,3,19,717.4,0,49,0,24.43,5.7,116,0
5,233,35,21,3,20,717.8,0,50,0,23.76,6.9,108,0
7,209,14,2,3,21,718.1,0,53,0,22.76,8.4,108,0
15,172,16,15,3,22,718.1,0,54,0,22.21,10.1,114,0
9,96,31,10,3,23,718.4,0,60,0,20.39,5.7,66,0
4,143,41,34,4,0,718.5,0,69,0,17.95,3.6,339,1
4,105,7,8,4,1,718.4,0,71,0,17.27,3.5,317,0
4,81,15,1,4,2,718.1,0,74,0,16.76,2.6,312,0
4,80,16,18,4,3,718,0,77,0,16.31,3.7,321,0
5,78,34,21,4,5,717.6,0,81,0,15.71,2.5,292,0
6,97,55,28,4,6,717.8,0,82,0,15.16,2.3,287,1
5,174,27,9,4,7,718.3,0,82,0.022,15.36,3.7,312,0
6,177,18,12,4,8,718.7,0,82,0.097,16.37,3.5,331,0
8,209,30,11,4,9,718.9,0,81,0.127,17.07,5.1,8,0
18,158,19,14,4,10,719.2,0,80,0.209,17.77,6.6,8,0
25,104,5,16,4,11,719,0,76,0.349,19.03,6.4,32,0
32,81,21,10,4,12,718,0,69,0.466,20.52,7.3,89,0
39,112,31,9,4,13,717,0,67,0.553,21.12,9.3,93,0
42,104,40,1,4,14,716.3,0,66,0.501,21.92,10.1,107,0
45,96,41,12,4,15,716.1,0,67,0.363,21.69,10.8,112,1
42,106,53,23,4,16,716.3,0,70,0.107,20.87,12.2,112,1
28,136,30,12,4,17,716.8,0,72,0.01,20.34,11.3,110,0
21,119,42,7,4,19,717.8,0,76,0,19.84,5.3,87,1
18,114,35,12,4,20,718.1,0,76,0,19.51,5.7,83,0
15,121,23,22,4,21,718,0,77,0,18.14,4.8,4,0
8,99,45,5,4,22,717.9,0,80,0,18.18,5.4,27,1
21,126,40,6,4,23,717.7,0,84,0,18.23,8.9,117,0
21,89,34,10,5,0,717.4,0,90,0,17.31,7.3,124,0
22,64,24,7,5,1,717.1,0,91,0,17.15,6.8,102,0
20,60,31,5,5,2,717.1,0,92,0,16.9,6,62,0
11,70,26,20,5,3,716.9,0,93,0,16,5.1,357,0
18,56,6,6,5,4,716.9,0,93,0,15.34,6.5,344,0
15,52,12,6,5,5,717.2,0,94,0,14.9,5.7,328,0
12,64,18,13,5,6,717.8,0,94,0,14.11,6.8,346,0
10,49,5,12,5,7,718.4,0.01,95,0,13.24,8.9,351,0
9,41,17,9,5,8,718.8,0,95,0.018,13.3,8,350,0
12,56,26,10,5,9,719.5,0,92,0.073,14.09,10.3,349,0
20,64,16,7,5,10,719.7,0,85,0.144,14.9,11.9,353,0
22,71,23,14,5,11,719.7,0,81,0.136,15.46,11.4,353,0
24,74,9,25,5,12,719.4,0,79,0.113,15.78,13.3,356,0
20,67,34,22,5,13,719.2,0,80,0.069,15.09,13.9,359,0
16,78,12,5,5,14,718.9,0,82,0.103,13.98,13.6,357,0
14,61,7,2,5,15,719,0,83,0.047,12.85,14.3,0,0
14,56,5,15,5,17,720.6,0,86,0.034,11.23,12.4,360,0
15,33,20,2,5,20,722.9,0,87,0,8.97,12.3,14,0
17,37,18,6,5,21,723.4,0,86,0,8.51,10.6,6,0
18,34,12,1,5,22,723.7,0,88,0,7.58,11.7,3,0
20,17,13,3,6,0,723.7,0,89,0,7,9.8,349,0
24,18,10,10,6,2,723.9,0,84,0,6.89,13.9,342,0
18,52,20,2,6,9,726.3,0,74,0.053,7.51,13,350,0
23,62,22,16,6,12,725.9,0,66,0.192,10.07,14.7,2,0
24,72,6,1,6,14,724.5,0,62,0.345,11.67,15.3,2,0
25,73,7,10,6,15,724.4,0,59,0.435,12.68,15.6,4,0
25,59,17,7,6,16,724.6,0,58,0.225,13.02,12.8,355,0
22,44,24,7,6,17,725,0,58,0.048,12.48,10.6,18,0
18,44,17,9,6,18,725.7,0,62,0.003,10.84,5.8,73,0
13,39,8,11,6,22,727.3,0,65,0,8.61,4.6,302,0
9,37,19,7,6,23,727.4,0,67,0,8.23,2.7,268,0
5,52,12,2,7,0,727.3,0,69,0,8.3,4,25,0
22,32,14,4,7,2,727.2,0,76,0,6.62,4.2,113,0
25,30,10,9,7,3,727,0,78,0,5.99,5.8,115,0
23,19,19,5,7,4,727,0,79,0,5.63,4.5,132,0
8,37,24,1,7,6,727.3,0,81,0,5.05,3.7,355,0
4,62,23,3,7,7,727.6,0,83,0.005,4.8,2.9,334,0
6,71,26,17,7,8,728,0,83,0.066,5.46,4.1,336,0
10,95,9,44,7,9,728.2,0,81,0.209,6.93,4,330,0
18,139,53,1,7,10,728.2,0,73,0.412,9.86,4.7,314,1
22,144,54,12,7,11,727.6,0,62,0.42,12.73,4.3,346,1
24,108,42,26,7,12,726.8,0,56,0.295,13.01,4.8,357,1
31,125,16,1,7,13,725.6,0,45,0.361,15.25,3,97,0
30,83,15,7,7,14,724.6,0,46,0.278,15.13,4,101,0
32,104,22,3,7,15,724.1,0,46,0.201,15.19,4.1,117,0
29,100,25,11,7,16,723.9,0,51,0.069,14.57,3.6,112,0
26,136,36,11,7,17,723.8,0,54,0.039,14.44,5.1,107,0
19,157,25,14,7,18,723.8,0,58,0.002,13.9,6,122,0
13,120,11,44,7,19,723.8,0,61,0,13.38,4.9,143,0
13,130,55,28,7,20,723.8,0,62,0,12.97,3.7,124,1
13,145,83,10,7,21,723.6,0,64,0,12.6,4.2,130,1
10,172,73,1,7,22,723.6,0,68,0,11.34,1.5,352,1
13,171,72,7,7,23,723.5,0,71,0,11.02,3,29,1
13,226,79,7,1,0,723.1,0,74,0,10.28,2.2,339,1
12,237,72,27,1,1,723,0,74,0,9.79,3,311,1
10,231,45,17,1,2,722.8,0,74,0,9.76,3.7,313,1
9,188,28,41,1,3,722.7,0,75,0,9.56,2.1,310,0
10,196,69,5,1,4,722.2,0,76,0,9.08,2.3,235,1
9,196,74,21,1,5,722,0,77,0,8.89,2.1,277,1
8,157,53,3,1,6,721.9,0,77,0,8.77,2,268,1
8,175,50,10,1,7,722,0,77,0.005,9.05,1.9,227,1
8,177,40,4,1,8,722.2,0,71,0.093,10.76,3.9,303,0
7,175,36,8,1,9,723.1,0,55,0.084,12.97,1.8,295,0
7,104,28,2,1,10,723.7,0,51,0.087,13.9,0.9,169,0
9,129,26,9,1,11,723.8,0,48,0.171,15.35,1.7,18,0
17,113,17,5,1,12,723.5,0,42,0.337,17.56,4.1,309,0
32,54,12,2,1,14,722.3,0,27,0.485,22.09,6.8,321,0
32,44,10,11,1,15,722.1,0,23,0.325,23.19,6.7,322,0
25,40,21,6,1,16,722.3,0,24,0.124,22.11,7.1,352,0
31,50,15,13,1,17,722.9,0,33,0.049,19.62,9.4,27,0
27,57,28,7,1,18,723.9,0,34,0.002,17.91,6.6,40,0
16,49,21,1,1,19,724.8,0,33,0.001,17.18,3.6,10,0
8,69,22,15,1,20,725.3,0,31,0.001,16.46,1.2,336,0
9,101,37,9,1,21,725.7,0,33,0,16.18,1,274,0
9,145,46,18,1,22,725.9,0,34,0,16.1,2.6,4,1
5,158,28,8,1,23,726.1,0,35,0.001,15.41,2.6,336,0
6,120,36,5,2,0,726.2,0,45,0.001,14.24,1.3,319,0
6,147,31,17,2,1,726.2,0,49,0,13.76,0.9,268,0
